GPT_corr_score,GPT_wrong_score,GPT_right
-5.611583948135376,-7.165708214044571,True
-4.064666112263997,-6.187737971544266,True
-4.971857875585556,-6.995842814445496,True
-4.087104137454714,-4.4202969414847235,True
-3.9840863943099976,-4.041891574859619,True
-4.237650792513575,-4.360351923320975,True
-4.296725120395422,-4.603402817621827,True
-2.880340067698853,-2.9911937282627656,True
-5.120465883612633,-6.74640691280365,True
-5.2687919934590655,-6.308697879314423,True
-5.861087441444397,-7.3032543659210205,True
-5.061239266395569,-5.605068922042847,True
-3.6418035055200257,-4.3774508746961756,True
-5.769587111473084,-5.044706613889763,False
-3.3897140733897686,-3.7697678932121823,True
-2.6297407471574843,-2.867879156023264,True
-3.9840863943099976,-4.969269704818726,True
-4.431256532669067,-5.107317805290222,True
-4.670408868789673,-5.447634983062744,True
-3.8674122422933577,-4.020171492489883,True
-3.145227012038231,-4.090178658836521,True
-3.336733808120092,-4.143109668486027,True
-2.4656078269342996,-2.89305298946177,True
-4.56231967608134,-5.381990353266398,True
-6.20277738571167,-5.836232841014862,False
-6.20277738571167,-3.9835976163546243,False
-5.781168673719678,-6.942192554473877,True
-5.781168673719678,-8.357228117329734,True
-4.190204646321945,-4.838599684570606,True
-4.3405816207329435,-4.4445396562417345,True
-2.7320480912923815,-2.985795870423317,True
-4.190204646321945,-4.545666536937158,True
-4.202922364075978,-5.192064395546913,True
-2.2450753907588394,-3.7406104462487355,True
-4.004376718153556,-3.872012478299439,False
-4.421026408672333,-6.845240414142609,True
-3.9453239280652874,-4.306507489799212,True
-4.492175874377911,-5.079243138898164,True
-3.9339353689657792,-4.1118458075714965,True
-3.6110894911523377,-3.652698925031083,True
-4.926643470923106,-4.801172693570455,False
-4.212612569332123,-4.418737500905991,True
-4.105509698390961,-4.348293324311574,True
-3.9453239280652874,-4.028821135405451,True
-4.492175874377911,-4.608555305438737,True
-3.9339353689657792,-5.414010831287929,True
-3.683482453227043,-5.697981518507004,True
-3.5878938337167106,-5.413645005226135,True
-4.13349928855896,-5.430112699667613,True
-4.059121234885727,-4.733772809927662,True
-7.454679399728775,-10.445035457611084,True
-4.2283586068078876,-4.834150190864291,True
-4.719035016331223,-5.488616365511136,True
-5.219735085964203,-7.745158127376011,True
-5.736260312795639,-8.101532323019844,True
-5.828960365719265,-8.143797738211495,True
-6.1116829713185625,-7.945324965885708,True
-5.302272372775608,-7.926519870758057,True
-6.09748309188419,-8.22870397567749,True
-6.988484846221076,-9.79247760772705,True
-5.36491482257843,-7.293992877006531,True
-4.996013480424881,-6.3080782228046,True
-4.42952481903386,-4.549322486872209,True
-5.744526773691177,-6.814682364463806,True
-4.7903922931714495,-6.174155023362902,True
-6.466047154532538,-6.304527950286865,False
-5.734596687555313,-6.543949103355407,True
-5.734596687555313,-7.122421079211765,True
-5.209010774435592,-5.9318440244853265,True
-4.357562026561936,-5.11110705624742,True
-6.863271331787109,-7.0632397651672365,True
-5.65918184410442,-6.541016227006912,True
-3.483248170199139,-4.451831991473834,True
-5.382490813732147,-6.830801781266928,True
-6.425204932689667,-7.695727961403983,True
-4.4333060135444,-5.672044122219086,True
-6.546270470134914,-7.648622580936977,True
-3.8868600946258414,-4.593022620677948,True
-4.597939800757628,-5.37003530561924,True
-5.635706126689911,-6.706620878643459,True
-5.5635301023721695,-6.995543684278216,True
-7.138123493641615,-8.485401153564453,True
-5.492150288820267,-7.843318223953247,True
-5.5634446144104,-6.330006539821625,True
-5.5634446144104,-6.980758462633405,True
-5.5634446144104,-6.0238096714019775,True
-7.580484390258789,-8.915589582920074,True
-6.034318685531616,-6.9301072756449384,True
-5.216885033994913,-6.272417102541242,True
-4.663125614325206,-6.260610178112984,True
-4.109363961219787,-5.295806869864464,True
-5.562022615224123,-8.048323392868042,True
-5.885729551315308,-7.505775875515408,True
-4.996803653240204,-7.198859930038452,True
-8.325705170631409,-8.560462951660156,True
-8.325705170631409,-9.438699146111807,True
-8.325705170631409,-7.92218199798039,False
-4.637882781028748,-5.885720835791694,True
-5.114101833105087,-5.897165616353353,True
-4.396389987733629,-6.154811844229698,True
-6.166847825050354,-8.955284913380941,True
-4.100763738155365,-4.0785114367802935,False
-4.100763738155365,-5.299059232076009,True
-4.330975341796875,-5.669151687622071,True
-4.598067402839661,-6.108177820841472,True
-6.341305375099182,-7.362072110176086,True
-4.713389907564435,-4.729996383190155,True
-4.911454230546951,-5.982508818308513,True
-5.5394149124622345,-6.4272918701171875,True
-4.790201842784882,-5.300030867258708,True
-4.321082878112793,-4.979769825935364,True
-4.425146818161011,-6.630283037821452,True
-6.794990718364716,-6.133810202280681,False
-4.5659180879592896,-5.789557298024495,True
-3.190946435928345,-5.388815212249756,True
-3.7182703495025633,-6.310424947738648,True
