subject,phenomenon,sub_subject,Correct.sentence,Wrong.sentence,Label,URL,Generated,cor.score,wrong.score,difference
Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,De maan schijnt.,Er schijnt een maan.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140301lingtopic,ANS,6.25,5.25,1.0
Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,Het continent van Europa is klein.,Een continent van Europa is klein.,,,Manual,3.5,2.0,1.5
Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,De Toren van Pisa helt over.,Er helt een Toren van Pisa over.,,,Chat-GPT,5.9375,2.5,3.4375
Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,De Mona Lisa hangt in het Louvre.,Er hangt een Mona Lisa in het Louvre,,,Chat-GPT,6.625,2.5,4.125
Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,De Taj Mahal staat in India.,Er staat een Taj Mahal in India.,,,Chat-GPT,6.675,3.375,3.3
Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,De sahara is erg heet.,Een sahara is erg heet.,,,Manual,6.25,2.6,3.65
Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,De Eiffeltoren staat in Parijs.,Er staat een Eiffeltoren in Parijs.,,,Chat-GPT,6.875,2.8,4.075
Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,De zon schijnt.,Er schijnt een zon.,,,Manual,6.95,5.0,1.95
Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,De aarde is bol.,Een aarde is bol.,,,Manual,5.0875,2.875,2.2125
Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 3,Cognac aanbieden aan tante Fien (vindt pa doodzonde.),Cognac aanbieden tante Fien (vindt pa doodzonde.),uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140804lingtopic,ANS,5.1625,1.125,4.0375
Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 2,Het voor grootmoeder thee inschenken (is een hele opgave.),Het grootmoeder inschenken van thee (is een hele opgave.),uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140803lingtopic,ANS,2.8125,1.5,1.3125
