ID,subject,phenomenon,sub_subject,Correct.sentence,Wrong.sentence,Label,URL,Generated
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,De maan schijnt.,Er schijnt een maan.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140301lingtopic,ANS
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,De zon schijnt.,Er schijnt een zon.,,,Manual
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,De aarde is bol.,Een aarde is bol.,,,Manual
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,De sahara is erg heet.,Een sahara is erg heet.,,,Manual
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,De Eiffeltoren staat in Parijs.,Er staat een Eiffeltoren in Parijs.,,,Chat-GPT
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,De Mona Lisa hangt in het Louvre.,Er hangt een Mona Lisa in het Louvre,,,Chat-GPT
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,De Toren van Pisa helt over.,Er helt een Toren van Pisa over.,,,Chat-GPT
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,De Taj Mahal staat in India.,Er staat een Taj Mahal in India.,,,Chat-GPT
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,De Mona Lisa is beroemd.,Een mona Lisa is beroemd.,,,Chat-GPT
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,De Amazonerivier is lang.,Een Amazonerivier is lang.,,,Chat-GPT
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,De Sahara is droog.,Een Sahara is droog.,,,Chat-GPT
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,De Grand Canyon is diep.,Een Grand Canyon is diep.,,,Chat-GPT
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,De Eiffeltoren is iconisch.,Een Eiffeltoren is iconisch.,,,Chat-GPT
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,De Sydney Opera House is opvallend,Er is een opvallend Sydney Opera House.,,,Chat-GPT
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,Het Rijksmuseum trekt veel bezoekers.,Een Rijksmuseum trekt veel bezoekers.,,,Chat-GPT
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,Het Rijksmuseum heeft een rijke geschiedenis.,Een Rijksmuseum heeft een rijke geschiedenis.,,,Chat-GPT
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,De Eiffeltoren staat in Parijs.,Een Eiffeltoren staat in Parijs.,,,Chat-GPT
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,De Eiffeltoren heeft drie verdiepingen.,Een Eiffeltoren heeft drie verdiepingen.,,,Chat-GPT
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,De Eiffeltoren trekt veel toeristen.,Een Eiffeltoren trekt veel toeristen.,,,Chat-GPT
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,De Niagara Falls bestaan uit drie watervallen. ,Een Niagara Falls bestaan uit drie watervallen.,,,Chat-GPT
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,De Niagara Falls zijn 's nachts verlicht.,Een Niagara Falls zijn 's nachts verlicht.,,,Chat-GPT
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,De Niagara Falls zijn een natuurlijk wonder.,Een Niagara Falls zijn een natuurlijk wonder.,,,Chat-GPT
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,De Taj Mahal is een wereldwonder.,Een Taj Mahal is een wereldwonder.,,,Chat-GPT
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Bepaalde en onbepaalde naamwoordelijke constituenten,Het continent van Europa is klein.,Een continent van Europa is klein.,,,Manual
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,Er is kaas gesneden.,Kaas is gesneden.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140302lingtopic,ANS
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,Er is kaas gesneden.,Er is kaas een zuivelprodukt.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140302lingtopic,ANS
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,Kralen maken een effen trui levendiger.,Kralen liggen.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140302lingtopic,ANS
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,Kralen maken een effen trui levendiger.,Er maken kralen een effen trui levendiger.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140302lingtopic,ANS
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,De dollar is gedevalueerd.,Een dollar is gedevalueerd.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140302lingtopic,ANS
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,De walvis dreigt uit te sterven.,Een walvis dreigt uit te sterven.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140302lingtopic,ANS
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,Een appel moet je schillen voor je hem opeet.,De appel moet je schillen voor je hem opeet.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140302lingtopic,ANS
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,De dollar is gedevalueerd.,De dollars zijn gedevalueerd.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140302lingtopic,ANS
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,Het paard is een zoogdier.,De paarden zijn zoogdieren.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140302lingtopic,ANS
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,De mens is al meer dan 100.000 jaar oud.,De mensen zijn al meer dan 100.,uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140302lingtopic,ANS
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,De tijger is met uitsterven bedreigd.,Een tijger is met uitsterven bedreigd.,,,Chat-GPT
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,De zon schijnt fel.,De zonnen schijnen fel.,,,Chat-GPT
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,De euro is gedevalueerd.,Een euro is gedevalueerd.,,,Manual
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,De pond is gedevalueerd.,Een pond is gedevalueerd.,,,Manual
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,De yen is gedevalueerd.,Een yen is gedevalueerd.,,,Manual
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,De struisvogel dreigt uit te sterven.,Een struisvogel dreigt uit te sterven.,,,Manual
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,De bij dreigt uit te sterven.,Een bij dreigt uit te sterven.,,,Manual
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,De kikker dreigt uit te sterven.,Een kikker dreigt uit te sterven.,,,Manual
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,De leeuw dreigt uit te sterven.,Een leeuw dreigt uit te sterven.,,,Manual
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,De euro is gedevalueerd.,De euros zijn gedevalueerd.,,,Manual
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,De pond is gedevalueerd.,De ponden zijn gedevalueerd.,,,Manual
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,De yen is gedevalueerd.,De yens zijn gedevalueerd.,,,Manual
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,De walvis is een zoogdier.,De walvissen zijn zoogdieren.,,,Manual
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,De koe is een zoogdier.,De koeien zijn zoogdieren.,,,Manual
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,De mens bestaat al eeuwen.,De mensen bestaan al eeuwen. ,,,Manual
1,Noun Constituent,"1. Definite, Indefinite, Categorical and Generic Noun Constituents",Categoriale en generieke naamwoordelijke constituenten,De gulden is gedevalueerd.,Een gulden is gedevalueerd.,,,Manual
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 1,De terechtstelling van de misdadiger (was afschrikwekkend.),De misdadiger terechtstelling (was afschrikwekkend.),uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140802lingtopic,ANS
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 1,De schenking van kadobonnen aan de jarige (was een goed idee.),De jarige schenking van kadobonnen (was een goed idee.),uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140802lingtopic,ANS
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 1,De verstrekking van kortingsbonnen in een supermarkt (werd gewaardeerd.),De in een supermarkt verstrekking van kortingsbonnen (werd gewaardeerd.),uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140802lingtopic,ANS
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 1,De restauratie van het oude kasteel (is voltooid.) ,Een oude kasteel restauratie (is voltooid.),,,Chat-GPT
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 1,De renovatie van de oude wijk (is begonnen.) ,Een oude wijk renovatie (is begonnen.),,,Chat-GPT
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 1,De reconstructie van de historische brug (is afgerond.),Een historische brug reconstructie (is afgerond.),,,Chat-GPT
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 1,De opgraving van de archeologische vondsten (is gepland.),Een archeologische vondsten opgraving (is gepland.),,,Chat-GPT
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 1,De verbouwing van het oude herenhuis (is voltooid.),Een oude herenhuis verbouwing (is voltooid.),,,Chat-GPT
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 1,De sloop van het verlaten gebouw (is gevaarlijk.),Een verlaten gebouw sloop (is gevaarlijk.),,,Chat-GPT
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 1,De restauratie van het antieke standbeeld (is bewonderenswaardig.),Een antieke standbeeld restauratie (is bewonderenswaardig.),,,Chat-GPT
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 1,De onthulling van het standbeeld (was een plechtige gebeurtenis.),Een standbeeld onthulling (was een plechtige gebeurtenis.),,,Chat-GPT
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 1,Het vuilnis lag aan de zijkant (van de weg.),De zijkant lag het vuilnis (van de weg.),,,Manual
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 1,Het uitgeven van gratis testers in een parfumerie (is een leuke verrassing.),Het in een parfumerie uitgeven van testers (is een leuke verrassing.),,,Manual
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 1,De vondst van het graf in een oud gebouw (was schokkend.),De in een oud gebouw vondst van het graf (was schokkend.),,,Manual
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 1,Het geven van chocola aan de hond (is niet verstandig.),De hond geven van chocola (is niet verstandig.),,,Manual
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 2,Het pannenkoeken bakken (is voor Anneke niet moeilijk.),Het een pannenkoek bakken (is voor Anneke niet moeilijk.),uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140803lingtopic,ANS
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 2,Het bakken van pannenkoeken (is voor Anneke niet moeilijk.),Het van pannenkoeken bakken (is voor Anneke niet moeilijk.),uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140803lingtopic,ANS
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 2,Het bakken van pannenkoeken (is voor Anneke niet moeilijk.),Het bakken pannenkoeken (is voor Anneke niet moeilijk.),uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140803lingtopic,ANS
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 2,Het aan kleine kinderen snoep geven (wordt afgeraden.),Het kleine kinderen geven van snoep (wordt afgeraden.),uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140803lingtopic,ANS
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 2,Het geven van snoep aan kleine kinderen (wordt afgeraden.),Het geven van snoep kleine kinderen (wordt afgeraden.),uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140803lingtopic,ANS
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 2,Het voor grootmoeder thee inschenken (is een hele opgave.),Het grootmoeder inschenken van thee (is een hele opgave.),uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140803lingtopic,ANS
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 2,Het inschenken van thee voor grootmoeder (is een hele opgave.),Het inschenken van thee grootmoeder (is een hele opgave.),uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140803lingtopic,ANS
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 2,Het maken van een plan (helpt bij het organiseren van de dag.),Het plan maken (helpt bij het organiseren van de dag.),,,Chat-GPT
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 2,Het schrijven van een brief (vereist concentratie.),Het een brief schrijven (vereist concentratie.),,,Chat-GPT
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 2,Het voorbereiden voor avondeten (is zo gedaan.),Het voorbereiden avondeten (is zo gedaan.),,,Manual
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 2,Het knippen van de haren (is nodig voor een nieuwe look.),Het haren knippen (is nodig voor een nieuwe look.),,,Chat-GPT
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 2,Het kopen van cadeautjes (maakt haar blij.),Het cadeautjes kopen (maakt haar blij.),,,Chat-GPT
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 2,Het maken van foto's (is een hobby van haar.),Het foto's maken (is een hobby van haar.),,,Chat-GPT
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 2,Het luisteren naar muziek (ontspant haar na een lange dag.),Het muziek luisteren (ontspant haar na een lange dag.),,,Chat-GPT
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 2,Het lezen van boeken (verrijkt haar geest.),Het boeken lezen (verrijkt haar geest.),,,Chat-GPT
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 2,Het schrijven van gedichten (is haar passie.),Het gedichten schrijven (is haar passie.),,,Chat-GPT
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 2,Het doen van yoga (houdt haar fit.),Het yoga doen (houdt haar fit.),,,Chat-GPT
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 2,Het uitproberen van nieuwe recepten (houdt me creatief bezig.),Het recepten uitproberen (houdt me creatief bezig.),,,Chat-GPT
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 3,Mosselen eten (is in de mode.),Van mosselen eten (is in de mode.),uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140804lingtopic,ANS
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 3,Mosselen eten (is in de mode.),Eten mosselen (is in de mode.),uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140804lingtopic,ANS
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 3,Mosselen eten (is in de mode.),Eten van mosselen (is in de mode.),uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140804lingtopic,ANS
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 3,Cognac aanbieden aan tante Fien (vindt pa doodzonde.),Cognac aanbieden tante Fien (vindt pa doodzonde.),uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140804lingtopic,ANS
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 3,Een nieuwe broek kopen voor Eric (is altijd leuk.),Een nieuwe broek kopen Eric (is altijd leuk.),uitgesloten,https://e-ans.ivdnt.org/topics/pid/ans140804lingtopic,ANS
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 3,Het drinken van koffie (maakt me wakker.),Het koffie drinken (maakt me wakker.),,,Chat-GPT
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 3,Het lezen van een boek (is ontspannend.),Het boek lezen (is ontspannend.),,,Chat-GPT
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 3,Het kijken naar een film (is een leuke bezigheid.),Het film kijken (is een leuke bezigheid.),,,Chat-GPT
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 3,Het maken van een wandeling (is verfrissend.),Het wandeling maken (is verfrissend.),,,Chat-GPT
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 3,Een taart langsbrengen bij je grootouders (is erg attent.),Taart langsbrengen grootouders (is erg attent.),,,Manual
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 3,Liederen zingen met je familie (is heel leuk.),Zingen liederen familie (is heel leuk.),,,Manual
2,Noun Constituent,2. Nominalizations,Nominalisaties behorend tot type 3,Kaviaar eten (doen rijke mensen.),Van kaviaar eten (doen rijke mensen.),,,Manual
