Llama2_chat_corr_score,Llama2_chat_wrong_score,Llama2_chat_right
-4.315389949296202,-5.035877473652363,True
-4.590346249086516,-5.183104887604713,True
-5.36171426375707,-6.7832932472229,True
-6.022100679576397,-5.972853725310415,False
-2.892685920541143,-3.921107186458054,True
-3.6871587558734147,-4.345137274570086,True
-4.317512927949428,-6.167017882520502,True
-4.704152748092181,-4.79361613728106,True
-4.377895296365023,-5.135356591641903,True
-6.60124946013093,-7.354718325659633,True
-7.093803780419486,-6.839791102068765,False
-5.615876625809404,-5.981185634310047,True
-4.170384756392902,-5.441571234414975,True
-4.537122367156877,-4.7185324496504935,True
-2.793870920852686,-3.3053945461288095,True
-2.827059458153179,-3.3558567110449076,True
-2.892685920541143,-3.759954026527174,True
-3.048636002757121,-3.7626341354916804,True
-3.2273270174240074,-4.031148040977617,True
-3.4348684301561057,-3.375526104405123,False
-3.584961398438151,-3.887034102343023,True
-3.4467823054784765,-3.731545752344223,True
-4.118746414865282,-4.413955918259242,True
-5.358314326831272,-6.581769738878522,True
-6.015588482841849,-5.707215700830732,False
-6.015588482841849,-6.252680216729641,True
-5.4633960872888565,-6.811982035636902,True
-5.4633960872888565,-5.91935149828593,True
-5.467262248198192,-4.770934950353371,False
-5.339966518222354,-4.392793501568667,False
-4.080070433144768,-3.8338910449917116,False
-5.467262248198192,-5.146351154427975,False
-3.373695290557225,-4.173005365456144,True
-2.517352447935587,-2.9258263267111033,True
-3.089262207986654,-3.127456675416657,True
-4.601191578432918,-4.906403520144522,True
-5.684608433395624,-5.165751970023848,False
-7.277901622984144,-5.308088883136709,False
-7.23014587826199,-5.912352320634657,False
-4.099962373335774,-3.5503853503995253,False
-5.227857916564163,-5.281216907521917,True
-4.120836962273725,-3.6215310167674697,False
-4.370458500529639,-4.799806597875431,True
-5.684608433395624,-4.826585414405498,False
-7.277901622984144,-5.302438418898317,False
-7.23014587826199,-5.1785864513367414,False
-3.7012314398874877,-5.176122572273016,True
-3.362145905836951,-4.148157573118806,True
-4.94008272312567,-4.228215185305453,False
-5.879501938819885,-5.231086300127208,False
-3.929550390969962,-4.690052410380708,True
-4.940688169871767,-5.653583513523795,True
-3.6202920104538943,-4.143531187477967,True
-3.5597561644458704,-4.726958210081128,True
-4.446962827692429,-5.717345456282298,True
-3.5638422053307295,-4.545026644266078,True
-3.323915406337215,-4.335270641837269,True
-3.2220639459176,-4.585512805148028,True
-4.399100043112412,-5.303588273402836,True
-3.7360959447932576,-4.604331030667869,True
-3.6485584299312905,-4.488989659106462,True
-4.584961527974034,-5.2894986527306695,True
-4.164997200043872,-4.351309965405127,True
-4.19111720486544,-4.886348177865147,True
-4.131986716969146,-4.784746062010527,True
-4.190160747225347,-4.360005646571517,True
-4.331145801953971,-4.606463294941932,True
-4.331145801953971,-4.775168409473018,True
-4.671536734108539,-4.882047705790576,True
-3.8321439321670265,-4.5223499895895225,True
-5.377812702286367,-5.095899800459544,False
-4.973339045910459,-5.511127936343352,True
-3.8602990839863196,-4.43772656749934,True
-4.445842094852456,-5.711252301214979,True
-5.09259037040174,-5.234495829391692,True
-4.83545378661331,-5.294551289081573,True
-4.787674974401792,-5.029118738004139,True
-3.6763914347889917,-3.79989061991364,True
-4.148530776886379,-4.7567862113937736,True
-4.63833626093609,-5.302824083429116,True
-4.435208579955193,-5.7592663208488375,True
-5.453577101230621,-5.684121002753575,True
-3.6920466772779554,-4.191065452159627,True
-5.757874402132901,-5.639687279860179,False
-5.757874402132901,-6.883087374947288,True
-5.757874402132901,-6.337901612122853,True
-5.0193570134314625,-5.076802774554207,True
-5.179705534495103,-5.681227707291588,True
-4.141600461991038,-4.231356313576855,True
-3.9792235800996423,-4.791913636028767,True
-3.560160713338786,-4.082260227653508,True
-4.560891608042376,-5.417635267289977,True
-5.336223302137417,-6.877323474983374,True
-4.79719797372818,-6.33896822654284,True
-5.469009558703484,-4.847126921374971,False
-5.469009558703484,-5.490032660508795,True
-5.469009558703484,-5.118929597704361,False
-4.406725336468833,-4.973940673866309,True
-4.913559687556699,-5.333709117894371,True
-4.162643892471404,-4.7443315592827275,True
-5.3044041488319635,-5.331059111016137,True
-5.190809540737134,-5.545011755079031,True
-5.190809540737134,-4.860689203508875,False
-5.118851116725376,-5.757685139775276,True
-5.759853916035758,-6.4396622975667315,True
-3.9019838890474907,-6.32777772630964,True
-6.702889949083328,-7.196594715118408,True
-5.562872681301087,-7.290624912207325,True
-6.48436404977526,-8.968856906890869,True
-5.155588878525628,-6.910900831222534,True
-3.216727142904087,-5.226031521335244,True
-4.767013101466,-7.088432629903157,True
-4.63719616965814,-6.373683253924052,True
-4.548183378379326,-6.3416987632711725,True
-4.331386004175458,-5.55388293415308,True
-5.362254353240132,-5.922308057546616,True
-3.2838701529068532,-5.062906536866318,True
-4.8949581194255085,-5.522149911522865,True
-5.043754160404205,-5.467356085777283,True
-4.642152590956539,-5.344372824206948,True
-4.053439852972091,-4.634350958534262,True
-4.593023091554642,-5.486022412776947,True
-3.971161561273038,-4.988195055723191,True
-4.4658637510405645,-5.288439061906603,True
-4.57315593957901,-5.561371803283691,True
-4.152157007462599,-5.447473297516505,True
-3.587843970954418,-5.178590086373416,True
-3.998017984080232,-5.163718893296188,True
-3.817344173566777,-4.593102031542609,True
-3.574838262879186,-5.060896039009094,True
-4.960814636330017,-5.75605764788472,True
-5.077094847129451,-5.7677565937240916,True
-5.077094847129451,-6.701814333597819,True
-4.603191141571317,-6.048823495705922,True
-5.611362618704637,-7.412177991867066,True
-4.530535891652107,-6.215541084607442,True
-3.8960262057371438,-5.237743476172909,True
-5.875654348305294,-6.779237890243531,True
-6.752692461013794,-7.691988623142242,True
-6.186090716160834,-6.951274931430817,True
-3.4876352404909476,-3.873075494915247,True
-4.843383751809597,-6.112278858820598,True
-5.7140838248389105,-5.91098955190844,True
-4.195069165714085,-4.943221606991508,True
-4.357270184154105,-5.449682320933789,True
-5.895529044525964,-6.206346485763788,True
-5.755144051143101,-6.43466055393219,True
